epoch,phase,loss
1,train,0.0302
1,dev,0.8218
2,train,0.0242
2,dev,0.6199
3,train,0.0237
3,dev,0.7873
4,train,0.0271
4,dev,0.7172
5,train,0.0319
5,dev,0.6128
6,train,0.0323
6,dev,0.5271
7,train,0.0360
7,dev,0.6531
8,train,0.0400
8,dev,0.6421
9,train,0.0440
9,dev,0.6956
10,train,0.0486
10,dev,0.6620
11,train,0.0500
11,dev,0.6515
12,train,0.0617
12,dev,0.6661
13,train,0.0650
13,dev,0.6896
14,train,0.0551
14,dev,0.5668
15,train,0.0513
15,dev,0.5327
16,train,0.0503
16,dev,0.5352
17,train,0.0511
17,dev,0.5149
18,train,0.0513
18,dev,0.5403
19,train,0.0526
19,dev,0.6065
20,train,0.0553
20,dev,0.5354
