epoch,phase,acc
1,train,93.1909
1,dev,69.6332
2,train,93.8790
2,dev,86.0054
3,train,94.6388
3,dev,75.5435
4,train,96.6743
4,dev,76.8342
5,train,97.6921
5,dev,77.1739
6,train,98.2225
6,dev,78.4647
7,train,98.5665
7,dev,78.1250
8,train,98.5952
8,dev,78.6685
9,train,98.6095
9,dev,77.9212
10,train,98.6382
10,dev,77.9212
11,train,98.6239
11,dev,77.7174
12,train,98.6095
12,dev,77.3777
13,train,98.6382
13,dev,77.6495
14,train,98.6382
14,dev,77.6495
15,train,98.6239
15,dev,77.5136
16,train,98.6382
16,dev,77.4457
17,train,98.6382
17,dev,77.5815
18,train,98.6239
18,dev,77.9891
19,train,98.6239
19,dev,77.5136
20,train,98.6382
20,dev,77.7174
