epoch,phase,loss
1,train,0.0134
1,dev,0.6544
2,train,0.0113
2,dev,0.4751
3,train,0.0120
3,dev,0.6066
4,train,0.0097
4,dev,0.5833
5,train,0.0085
5,dev,0.5768
6,train,0.0080
6,dev,0.5574
7,train,0.0077
7,dev,0.5631
8,train,0.0093
8,dev,0.5557
9,train,0.0111
9,dev,0.5640
10,train,0.0134
10,dev,0.5634
11,train,0.0169
11,dev,0.5652
12,train,0.0211
12,dev,0.5683
13,train,0.0263
13,dev,0.5656
14,train,0.0325
14,dev,0.5654
15,train,0.0398
15,dev,0.5681
16,train,0.0478
16,dev,0.5687
17,train,0.0570
17,dev,0.5669
18,train,0.0672
18,dev,0.5636
19,train,0.0782
19,dev,0.5682
20,train,0.0902
20,dev,0.5664
