epoch,phase,acc
1,train,99.0969
1,dev,74.7283
2,train,99.2546
2,dev,73.5734
3,train,99.4123
3,dev,74.6603
4,train,99.4696
4,dev,74.1848
5,train,99.4839
5,dev,74.7283
6,train,99.5413
6,dev,74.3207
7,train,99.6273
7,dev,74.1848
8,train,99.6416
8,dev,75.1359
9,train,99.6990
9,dev,75.5435
10,train,99.7706
10,dev,75.0000
11,train,99.7850
11,dev,74.0489
12,train,99.7850
12,dev,74.1168
13,train,99.7850
13,dev,73.5734
14,train,99.7993
14,dev,73.7092
15,train,99.7993
15,dev,73.2337
16,train,99.7993
16,dev,73.2337
17,train,99.7993
17,dev,72.8940
18,train,99.7993
18,dev,73.0978
19,train,99.7993
19,dev,73.2337
20,train,99.7993
20,dev,72.6902
