epoch,phase,loss
1,train,0.0022
1,dev,0.5722
2,train,0.0016
2,dev,0.5829
3,train,0.0016
3,dev,0.5659
4,train,0.0016
4,dev,0.5722
5,train,0.0017
5,dev,0.5708
6,train,0.0018
6,dev,0.5791
7,train,0.0019
7,dev,0.5796
8,train,0.0020
8,dev,0.5699
9,train,0.0022
9,dev,0.5618
10,train,0.0024
10,dev,0.5780
11,train,0.0028
11,dev,0.5927
12,train,0.0032
12,dev,0.5898
13,train,0.0037
13,dev,0.5945
14,train,0.0047
14,dev,0.5929
15,train,0.0068
15,dev,0.5968
16,train,0.0098
16,dev,0.5971
17,train,0.0136
17,dev,0.6020
18,train,0.0186
18,dev,0.5977
19,train,0.0245
19,dev,0.5968
20,train,0.0314
20,dev,0.6037
