epoch,phase,acc
1,train,99.7706
1,dev,75.8832
2,train,99.8423
2,dev,73.0978
3,train,99.8997
3,dev,74.8641
4,train,99.9283
4,dev,74.7283
5,train,99.9283
5,dev,74.4565
6,train,99.9283
6,dev,73.9130
7,train,99.9283
7,dev,73.9130
8,train,99.9283
8,dev,73.7772
9,train,99.9283
9,dev,73.3016
10,train,99.9283
10,dev,73.4375
11,train,99.9283
11,dev,73.1658
12,train,99.9283
12,dev,72.9620
13,train,99.9283
13,dev,73.0299
14,train,99.9283
14,dev,72.9620
15,train,99.9283
15,dev,72.9620
16,train,99.9283
16,dev,73.2337
17,train,99.9283
17,dev,73.0299
18,train,99.9283
18,dev,73.1658
19,train,99.9283
19,dev,73.3696
20,train,99.9283
20,dev,72.8261
