epoch,phase,loss
1,train,0.0006
1,dev,0.5561
2,train,0.0004
2,dev,0.5896
3,train,0.0003
3,dev,0.5606
4,train,0.0002
4,dev,0.5621
5,train,0.0003
5,dev,0.5708
6,train,0.0003
6,dev,0.5780
7,train,0.0004
7,dev,0.5790
8,train,0.0007
8,dev,0.5798
9,train,0.0010
9,dev,0.5848
10,train,0.0016
10,dev,0.5819
11,train,0.0025
11,dev,0.5847
12,train,0.0039
12,dev,0.5870
13,train,0.0060
13,dev,0.5866
14,train,0.0090
14,dev,0.5861
15,train,0.0128
15,dev,0.5868
16,train,0.0176
16,dev,0.5843
17,train,0.0233
17,dev,0.5859
18,train,0.0301
18,dev,0.5845
19,train,0.0377
19,dev,0.5810
20,train,0.0463
20,dev,0.5890
