epoch,phase,acc
1,train,78.8561
1,dev,62.8397
2,train,84.6474
2,dev,80.3668
3,train,86.1955
3,dev,75.4076
4,train,87.0700
4,dev,63.5190
5,train,87.0843
5,dev,72.2826
6,train,87.8440
6,dev,75.6793
7,train,88.7901
7,dev,67.8668
8,train,89.1772
8,dev,73.4375
9,train,89.4925
9,dev,73.5054
10,train,89.8079
10,dev,60.2582
11,train,89.8939
11,dev,81.9973
12,train,90.2236
12,dev,79.8913
13,train,90.9260
13,dev,63.7228
14,train,91.1697
14,dev,74.7962
15,train,91.8865
15,dev,68.1386
16,train,92.2162
16,dev,80.8424
17,train,92.2592
17,dev,77.5136
18,train,91.5854
18,dev,64.4701
19,train,91.4994
19,dev,67.6630
20,train,93.6497
20,dev,75.9511
