epoch,phase,loss
1,train,0.0265
1,dev,0.7364
2,train,0.0251
2,dev,0.5675
3,train,0.0268
3,dev,0.6345
4,train,0.0304
4,dev,0.6983
5,train,0.0345
5,dev,0.6442
6,train,0.0378
6,dev,0.5956
7,train,0.0391
7,dev,0.6744
8,train,0.0436
8,dev,0.6114
9,train,0.0478
9,dev,0.6170
10,train,0.0514
10,dev,0.7908
11,train,0.0570
11,dev,0.5085
12,train,0.0611
12,dev,0.5318
13,train,0.0643
13,dev,0.7443
14,train,0.0666
14,dev,0.5901
15,train,0.0697
15,dev,0.6843
16,train,0.0717
16,dev,0.4865
17,train,0.0793
17,dev,0.5449
18,train,0.0925
18,dev,0.7505
19,train,0.1004
19,dev,0.7093
20,train,0.0869
20,dev,0.5734
