epoch,phase,acc
1,train,92.5315
1,dev,76.1549
2,train,94.5671
2,dev,75.6114
3,train,96.0579
3,dev,68.8179
4,train,97.8498
4,dev,75.4755
5,train,98.6239
5,dev,75.2717
6,train,98.8245
6,dev,75.7473
7,train,99.0826
7,dev,73.9810
8,train,99.0826
8,dev,74.1168
9,train,99.0682
9,dev,74.3886
10,train,99.0826
10,dev,74.1168
11,train,99.0826
11,dev,74.1848
12,train,99.0826
12,dev,73.8451
13,train,99.0682
13,dev,73.9810
14,train,99.0682
14,dev,73.8451
15,train,99.0682
15,dev,74.0489
16,train,99.0682
16,dev,74.0489
17,train,99.0682
17,dev,73.9130
18,train,99.0826
18,dev,73.9810
19,train,99.0682
19,dev,73.9130
20,train,99.0682
20,dev,73.9810
