epoch,phase,loss
1,train,0.0151
1,dev,0.5789
2,train,0.0105
2,dev,0.5727
3,train,0.0094
3,dev,0.6491
4,train,0.0063
4,dev,0.5602
5,train,0.0056
5,dev,0.5581
6,train,0.0053
6,dev,0.5500
7,train,0.0052
7,dev,0.5795
8,train,0.0061
8,dev,0.5799
9,train,0.0071
9,dev,0.5742
10,train,0.0084
10,dev,0.5795
11,train,0.0105
11,dev,0.5806
12,train,0.0131
12,dev,0.5846
13,train,0.0165
13,dev,0.5838
14,train,0.0209
14,dev,0.5858
15,train,0.0263
15,dev,0.5838
16,train,0.0326
16,dev,0.5845
17,train,0.0399
17,dev,0.5859
18,train,0.0480
18,dev,0.5846
19,train,0.0573
19,dev,0.5857
20,train,0.0676
20,dev,0.5836
