epoch,phase,acc
1,train,89.6154
1,dev,64.6635
2,train,94.0865
2,dev,66.1058
3,train,95.1202
3,dev,65.9856
4,train,95.8173
4,dev,65.7452
5,train,96.2500
5,dev,65.5048
6,train,96.7067
6,dev,64.6635
7,train,96.8029
7,dev,65.0240
8,train,96.8269
8,dev,65.1442
9,train,97.0433
9,dev,65.3846
10,train,97.1394
10,dev,64.1827
11,train,97.2596
11,dev,64.3029
12,train,97.2596
12,dev,65.1442
13,train,97.2837
13,dev,64.1827
14,train,97.3077
14,dev,65.0240
15,train,97.5240
15,dev,65.2644
16,train,97.4279
16,dev,65.2644
17,train,97.7163
17,dev,64.9038
18,train,97.4760
18,dev,65.1442
19,train,97.8125
19,dev,64.5433
20,train,97.7885
20,dev,64.9038
