epoch,phase,loss
1,train,0.0206
1,dev,2.3773
2,train,0.0167
2,dev,2.3742
3,train,0.0178
3,dev,2.3689
4,train,0.0203
4,dev,2.3970
5,train,0.0236
5,dev,2.3780
6,train,0.0276
6,dev,2.3776
7,train,0.0325
7,dev,2.3674
8,train,0.0382
8,dev,2.3409
9,train,0.0450
9,dev,2.3457
10,train,0.0532
10,dev,2.3180
11,train,0.0626
11,dev,2.3279
12,train,0.0740
12,dev,2.3100
13,train,0.0878
13,dev,2.3109
14,train,0.1034
14,dev,2.2971
15,train,0.1224
15,dev,2.2745
16,train,0.1450
16,dev,2.2731
17,train,0.1707
17,dev,2.2774
18,train,0.2008
18,dev,2.2671
19,train,0.2348
19,dev,2.2758
20,train,0.2730
20,dev,2.2631
