epoch,phase,acc
1,train,96.9231
1,dev,64.4231
2,train,99.2548
2,dev,64.3029
3,train,99.6154
3,dev,63.7019
4,train,99.7596
4,dev,63.5817
5,train,99.7837
5,dev,63.7019
6,train,99.8077
6,dev,62.8606
7,train,99.8077
7,dev,62.8606
8,train,99.8077
8,dev,63.4615
9,train,99.8077
9,dev,62.5000
10,train,99.8077
10,dev,63.1010
11,train,99.8077
11,dev,63.2212
12,train,99.8077
12,dev,62.9808
13,train,99.8077
13,dev,63.4615
14,train,99.8077
14,dev,63.7019
15,train,99.8077
15,dev,63.3413
16,train,99.8077
16,dev,63.3413
17,train,99.8077
17,dev,63.5817
18,train,99.8077
18,dev,62.8606
19,train,99.8077
19,dev,62.8606
20,train,99.8077
20,dev,62.6202
