epoch,phase,loss
1,train,0.0057
1,dev,2.3152
2,train,0.0029
2,dev,2.3198
3,train,0.0029
3,dev,2.3499
4,train,0.0029
4,dev,2.3483
5,train,0.0042
5,dev,2.3396
6,train,0.0061
6,dev,2.3501
7,train,0.0086
7,dev,2.3480
8,train,0.0125
8,dev,2.3428
9,train,0.0176
9,dev,2.3416
10,train,0.0244
10,dev,2.3580
11,train,0.0334
11,dev,2.3367
12,train,0.0451
12,dev,2.3461
13,train,0.0600
13,dev,2.3348
14,train,0.0789
14,dev,2.3322
15,train,0.1024
15,dev,2.3428
16,train,0.1305
16,dev,2.3464
17,train,0.1633
17,dev,2.3321
18,train,0.2011
18,dev,2.3515
19,train,0.2436
19,dev,2.3478
20,train,0.2909
20,dev,2.3461
