epoch,phase,acc
1,train,25.2404
1,dev,36.0577
2,train,37.5000
2,dev,44.9519
3,train,44.7837
3,dev,48.3173
4,train,48.3894
4,dev,51.0817
5,train,51.6827
5,dev,52.2837
6,train,52.6202
6,dev,53.9663
7,train,53.2452
7,dev,54.5673
8,train,55.6250
8,dev,58.4135
9,train,58.0529
9,dev,56.3702
10,train,60.3846
10,dev,62.5000
11,train,62.9567
11,dev,61.1779
12,train,65.3846
12,dev,56.9712
13,train,64.5433
13,dev,61.5385
14,train,64.2788
14,dev,61.4183
15,train,71.2740
15,dev,62.1394
16,train,74.3990
16,dev,64.0625
17,train,76.2500
17,dev,63.8221
18,train,77.7885
18,dev,64.4231
19,train,78.8942
19,dev,63.7019
20,train,80.6971
20,dev,64.6635
