epoch,phase,loss
1,train,0.1948
1,dev,3.5200
2,train,0.1916
2,dev,3.3927
3,train,0.2045
3,dev,3.2605
4,train,0.2170
4,dev,3.1111
5,train,0.2332
5,dev,2.8832
6,train,0.2583
6,dev,2.8746
7,train,0.2854
7,dev,2.7316
8,train,0.2999
8,dev,2.6538
9,train,0.3265
9,dev,2.6015
10,train,0.3403
10,dev,2.4406
11,train,0.3512
11,dev,2.4637
12,train,0.3715
12,dev,2.4659
13,train,0.4108
13,dev,2.3991
14,train,0.4699
14,dev,2.3253
15,train,0.4199
15,dev,2.2954
16,train,0.4190
16,dev,2.2324
17,train,0.4358
17,dev,2.2471
18,train,0.4606
18,dev,2.2153
19,train,0.4924
19,dev,2.2081
20,train,0.5267
20,dev,2.2134
