epoch,phase,acc
1,train,70.8413
1,dev,63.3413
2,train,74.7356
2,dev,63.2212
3,train,77.7404
3,dev,65.2644
4,train,83.9663
4,dev,66.5865
5,train,87.8365
5,dev,66.3462
6,train,89.2788
6,dev,66.9471
7,train,90.9375
7,dev,67.0673
8,train,91.2260
8,dev,66.2260
9,train,91.2500
9,dev,67.0673
10,train,91.4663
10,dev,65.8654
11,train,91.4183
11,dev,66.1058
12,train,91.4663
12,dev,66.1058
13,train,91.4663
13,dev,66.2260
14,train,91.4423
14,dev,66.2260
15,train,91.4183
15,dev,66.4663
16,train,91.4904
16,dev,67.6683
17,train,91.4183
17,dev,66.2260
18,train,91.4183
18,dev,65.7452
19,train,91.4183
19,dev,66.2260
20,train,91.4183
20,dev,65.8654
