epoch,phase,loss
1,train,0.0721
1,dev,2.4813
2,train,0.0655
2,dev,2.4675
3,train,0.0664
3,dev,2.4458
4,train,0.0564
4,dev,2.3720
5,train,0.0546
5,dev,2.3641
6,train,0.0572
6,dev,2.3430
7,train,0.0604
7,dev,2.3422
8,train,0.0717
8,dev,2.3495
9,train,0.0853
9,dev,2.3342
10,train,0.1010
10,dev,2.3589
11,train,0.1212
11,dev,2.3503
12,train,0.1445
12,dev,2.3432
13,train,0.1717
13,dev,2.3327
14,train,0.2033
14,dev,2.3186
15,train,0.2395
15,dev,2.3282
16,train,0.2799
16,dev,2.3118
17,train,0.3264
17,dev,2.3333
18,train,0.3766
18,dev,2.3526
19,train,0.4321
19,dev,2.3425
20,train,0.4926
20,dev,2.3469
