epoch,phase,acc
1,train,95.0240
1,dev,65.2644
2,train,97.9808
2,dev,65.9856
3,train,98.5337
3,dev,64.7837
4,train,98.7740
4,dev,65.6250
5,train,98.8702
5,dev,65.2644
6,train,99.0144
6,dev,64.6635
7,train,99.1346
7,dev,65.2644
8,train,99.2308
8,dev,65.6250
9,train,99.3269
9,dev,65.6250
10,train,99.3269
10,dev,65.1442
11,train,99.3510
11,dev,66.2260
12,train,99.3510
12,dev,65.2644
13,train,99.3510
13,dev,65.5048
14,train,99.3750
14,dev,65.6250
15,train,99.3750
15,dev,66.7067
16,train,99.3990
16,dev,64.9038
17,train,99.3750
17,dev,66.2260
18,train,99.3750
18,dev,64.9038
19,train,99.3750
19,dev,66.1058
20,train,99.3750
20,dev,64.9038
