epoch,phase,loss
1,train,0.0111
1,dev,2.2248
2,train,0.0082
2,dev,2.2399
3,train,0.0082
3,dev,2.2805
4,train,0.0089
4,dev,2.2308
5,train,0.0100
5,dev,2.2386
6,train,0.0116
6,dev,2.2409
7,train,0.0135
7,dev,2.2303
8,train,0.0160
8,dev,2.2274
9,train,0.0188
9,dev,2.2165
10,train,0.0224
10,dev,2.2385
11,train,0.0269
11,dev,2.1821
12,train,0.0322
12,dev,2.2086
13,train,0.0389
13,dev,2.1990
14,train,0.0468
14,dev,2.1973
15,train,0.0624
15,dev,2.1476
16,train,0.0817
16,dev,2.2132
17,train,0.1053
17,dev,2.1693
18,train,0.1336
18,dev,2.2066
19,train,0.1662
19,dev,2.1599
20,train,0.2044
20,dev,2.1990
