epoch,phase,acc
1,train,98.9423
1,dev,64.6635
2,train,99.5673
2,dev,64.1827
3,train,99.6154
3,dev,63.9423
4,train,99.6875
4,dev,64.5433
5,train,99.6875
5,dev,63.7019
6,train,99.6875
6,dev,64.6635
7,train,99.6875
7,dev,64.3029
8,train,99.6875
8,dev,64.5433
9,train,99.6635
9,dev,63.8221
10,train,99.6635
10,dev,63.9423
11,train,99.6635
11,dev,64.1827
12,train,99.6635
12,dev,64.5433
13,train,99.6635
13,dev,64.7837
14,train,99.6635
14,dev,63.8221
15,train,99.6635
15,dev,64.1827
16,train,99.6635
16,dev,64.0625
17,train,99.6635
17,dev,64.0625
18,train,99.6635
18,dev,64.5433
19,train,99.6635
19,dev,64.3029
20,train,99.6635
20,dev,64.1827
