epoch,phase,loss
1,train,0.0031
1,dev,2.2686
2,train,0.0023
2,dev,2.2720
3,train,0.0021
3,dev,2.2973
4,train,0.0021
4,dev,2.2587
5,train,0.0027
5,dev,2.2765
6,train,0.0036
6,dev,2.2362
7,train,0.0049
7,dev,2.2626
8,train,0.0072
8,dev,2.2462
9,train,0.0103
9,dev,2.2636
10,train,0.0148
10,dev,2.2764
11,train,0.0209
11,dev,2.2529
12,train,0.0291
12,dev,2.2570
13,train,0.0401
13,dev,2.2471
14,train,0.0546
14,dev,2.2724
15,train,0.0732
15,dev,2.2643
16,train,0.0961
16,dev,2.2640
17,train,0.1236
17,dev,2.2666
18,train,0.1557
18,dev,2.2346
19,train,0.1927
19,dev,2.2634
20,train,0.2343
20,dev,2.2608
