epoch,phase,acc
1,train,30.0481
1,dev,40.3846
2,train,41.8029
2,dev,46.9952
3,train,47.2837
3,dev,50.6010
4,train,49.5913
4,dev,55.2885
5,train,54.0385
5,dev,56.7308
6,train,55.9856
6,dev,57.0913
7,train,58.5817
7,dev,58.2933
8,train,58.9904
8,dev,59.4952
9,train,62.1394
9,dev,59.1346
10,train,62.2115
10,dev,56.8510
11,train,63.7260
11,dev,62.6202
12,train,65.3606
12,dev,61.6587
13,train,64.4231
13,dev,61.5385
14,train,66.5865
14,dev,61.4183
15,train,67.5000
15,dev,62.6202
16,train,70.5769
16,dev,62.6202
17,train,71.4904
17,dev,63.3413
18,train,70.8413
18,dev,60.9375
19,train,72.7885
19,dev,63.8221
20,train,76.5144
20,dev,64.9038
