epoch,phase,loss
1,train,0.1796
1,dev,3.5018
2,train,0.1753
2,dev,3.2413
3,train,0.1880
3,dev,3.0738
4,train,0.2085
4,dev,2.9331
5,train,0.2224
5,dev,2.8332
6,train,0.2455
6,dev,2.7741
7,train,0.2633
7,dev,2.6722
8,train,0.2856
8,dev,2.5969
9,train,0.2993
9,dev,2.5260
10,train,0.3319
10,dev,2.5186
11,train,0.3498
11,dev,2.3937
12,train,0.3745
12,dev,2.3704
13,train,0.4157
13,dev,2.3755
14,train,0.4273
14,dev,2.3012
15,train,0.4665
15,dev,2.2153
16,train,0.4663
16,dev,2.2324
17,train,0.4990
17,dev,2.1535
18,train,0.5542
18,dev,2.2134
19,train,0.5576
19,dev,2.1480
20,train,0.5574
20,dev,2.1036
