epoch,phase,acc
1,train,78.7019
1,dev,64.9038
2,train,83.5577
2,dev,62.8606
3,train,84.6875
3,dev,62.2596
4,train,90.6490
4,dev,64.1827
5,train,94.1106
5,dev,65.9856
6,train,95.5769
6,dev,67.1875
7,train,96.3942
7,dev,66.2260
8,train,96.4663
8,dev,66.9471
9,train,96.4904
9,dev,66.4663
10,train,96.6346
10,dev,65.9856
11,train,96.5625
11,dev,65.7452
12,train,96.5865
12,dev,67.4279
13,train,96.5385
13,dev,66.2260
14,train,96.5385
14,dev,66.1058
15,train,96.5385
15,dev,65.8654
16,train,96.5625
16,dev,66.8269
17,train,96.5865
17,dev,65.6250
18,train,96.5625
18,dev,66.7067
19,train,96.5625
19,dev,65.8654
20,train,96.5625
20,dev,66.2260
