epoch,phase,loss
1,train,0.0531
1,dev,2.2731
2,train,0.0425
2,dev,2.2481
3,train,0.0456
3,dev,2.2742
4,train,0.0348
4,dev,2.2562
5,train,0.0305
5,dev,2.2220
6,train,0.0303
6,dev,2.1964
7,train,0.0319
7,dev,2.2229
8,train,0.0384
8,dev,2.2061
9,train,0.0461
9,dev,2.2091
10,train,0.0551
10,dev,2.2128
11,train,0.0674
11,dev,2.2069
12,train,0.0819
12,dev,2.1698
13,train,0.0997
13,dev,2.2031
14,train,0.1211
14,dev,2.2043
15,train,0.1466
15,dev,2.2111
16,train,0.1764
16,dev,2.1873
17,train,0.2106
17,dev,2.2186
18,train,0.2498
18,dev,2.1919
19,train,0.2938
19,dev,2.2128
20,train,0.3421
20,dev,2.2072
