epoch,phase,acc
1,train,93.7981
1,dev,60.9375
2,train,96.8029
2,dev,60.6971
3,train,97.4519
3,dev,60.8173
4,train,97.6202
4,dev,61.5385
5,train,97.9808
5,dev,60.0962
6,train,98.2212
6,dev,61.2981
7,train,98.3894
7,dev,61.6587
8,train,98.4615
8,dev,61.1779
9,train,98.6538
9,dev,60.5769
10,train,98.7019
10,dev,59.9760
11,train,98.7500
11,dev,61.1779
12,train,98.8221
12,dev,61.1779
13,train,98.9183
13,dev,61.5385
14,train,98.8462
14,dev,61.6587
15,train,98.8702
15,dev,61.4183
16,train,98.9663
16,dev,60.3365
17,train,98.9183
17,dev,60.3365
18,train,98.9183
18,dev,61.1779
19,train,98.9423
19,dev,61.0577
20,train,98.9663
20,dev,61.2981
