epoch,phase,loss
1,train,0.0120
1,dev,2.3814
2,train,0.0093
2,dev,2.3623
3,train,0.0096
3,dev,2.3691
4,train,0.0106
4,dev,2.3682
5,train,0.0121
5,dev,2.3863
6,train,0.0138
6,dev,2.3726
7,train,0.0161
7,dev,2.3797
8,train,0.0189
8,dev,2.3752
9,train,0.0222
9,dev,2.3625
10,train,0.0264
10,dev,2.3708
11,train,0.0312
11,dev,2.3220
12,train,0.0375
12,dev,2.3487
13,train,0.0455
13,dev,2.3468
14,train,0.0555
14,dev,2.3515
15,train,0.0686
15,dev,2.3008
16,train,0.0837
16,dev,2.3422
17,train,0.1083
17,dev,2.3328
18,train,0.1375
18,dev,2.3346
19,train,0.1712
19,dev,2.3388
20,train,0.2100
20,dev,2.3200
