epoch,phase,acc
1,train,98.6779
1,dev,60.3365
2,train,99.4952
2,dev,59.8558
3,train,99.6875
3,dev,60.6971
4,train,99.8077
4,dev,59.1346
5,train,99.8077
5,dev,59.9760
6,train,99.7837
6,dev,58.8942
7,train,99.7837
7,dev,59.3750
8,train,99.7837
8,dev,59.1346
9,train,99.7837
9,dev,59.1346
10,train,99.7837
10,dev,59.6154
11,train,99.7837
11,dev,59.4952
12,train,99.7837
12,dev,59.1346
13,train,99.7837
13,dev,58.4135
14,train,99.7837
14,dev,60.0962
15,train,99.7837
15,dev,58.8942
16,train,99.7837
16,dev,58.8942
17,train,99.7837
17,dev,59.2548
18,train,99.7837
18,dev,59.3750
19,train,99.7837
19,dev,59.6154
20,train,99.7837
20,dev,59.7356
