epoch,phase,loss
1,train,0.0033
1,dev,2.3891
2,train,0.0020
2,dev,2.3982
3,train,0.0019
3,dev,2.3811
4,train,0.0019
4,dev,2.4420
5,train,0.0025
5,dev,2.4079
6,train,0.0033
6,dev,2.4368
7,train,0.0046
7,dev,2.4185
8,train,0.0067
8,dev,2.4108
9,train,0.0096
9,dev,2.4153
10,train,0.0137
10,dev,2.3966
11,train,0.0194
11,dev,2.4059
12,train,0.0272
12,dev,2.4093
13,train,0.0378
13,dev,2.4443
14,train,0.0518
14,dev,2.4008
15,train,0.0702
15,dev,2.4182
16,train,0.0930
16,dev,2.4227
17,train,0.1206
17,dev,2.4191
18,train,0.1531
18,dev,2.4253
19,train,0.1904
19,dev,2.4181
20,train,0.2322
20,dev,2.3953
