epoch,phase,acc
1,train,26.1779
1,dev,31.4904
2,train,35.6250
2,dev,38.8221
3,train,38.3654
3,dev,42.6683
4,train,43.3654
4,dev,45.1923
5,train,47.4760
5,dev,50.3606
6,train,49.7837
6,dev,48.5577
7,train,52.2596
7,dev,53.0048
8,train,55.5769
8,dev,52.0433
9,train,57.1635
9,dev,56.2500
10,train,58.6779
10,dev,58.0529
11,train,58.1250
11,dev,55.8894
12,train,62.1154
12,dev,57.9327
13,train,63.5817
13,dev,56.6106
14,train,63.8221
14,dev,58.0529
15,train,65.8894
15,dev,61.0577
16,train,67.5721
16,dev,58.1731
17,train,69.2788
17,dev,60.4567
18,train,70.4087
18,dev,59.9760
19,train,72.3798
19,dev,62.5000
20,train,73.3894
20,dev,59.0144
