epoch,phase,loss
1,train,0.1901
1,dev,3.6762
2,train,0.1981
2,dev,3.3462
3,train,0.2219
3,dev,3.2775
4,train,0.2362
4,dev,3.1851
5,train,0.2586
5,dev,3.0777
6,train,0.2736
6,dev,3.0064
7,train,0.3014
7,dev,2.8743
8,train,0.3140
8,dev,2.7966
9,train,0.3411
9,dev,2.6833
10,train,0.3544
10,dev,2.6450
11,train,0.4056
11,dev,2.6192
12,train,0.4091
12,dev,2.5451
13,train,0.4319
13,dev,2.4893
14,train,0.4634
14,dev,2.4297
15,train,0.4885
15,dev,2.3515
16,train,0.5042
16,dev,2.3870
17,train,0.5409
17,dev,2.3159
18,train,0.5537
18,dev,2.3408
19,train,0.5799
19,dev,2.2667
20,train,0.6173
20,dev,2.2965
