epoch,phase,acc
1,train,73.8702
1,dev,59.9760
2,train,79.1587
2,dev,62.1394
3,train,83.9423
3,dev,60.2163
4,train,89.2308
4,dev,62.0192
5,train,92.3798
5,dev,61.2981
6,train,94.1827
6,dev,62.1394
7,train,95.0962
7,dev,61.8990
8,train,95.1683
8,dev,61.7788
9,train,95.2404
9,dev,61.6587
10,train,95.2885
10,dev,61.5385
11,train,95.3125
11,dev,61.6587
12,train,95.3125
12,dev,60.4567
13,train,95.3365
13,dev,62.2596
14,train,95.3125
14,dev,61.2981
15,train,95.3125
15,dev,61.4183
16,train,95.3365
16,dev,61.0577
17,train,95.3365
17,dev,60.6971
18,train,95.3606
18,dev,61.5385
19,train,95.3365
19,dev,61.4183
20,train,95.3365
20,dev,62.5000
