epoch,phase,loss
1,train,0.0657
1,dev,2.3512
2,train,0.0497
2,dev,2.3087
3,train,0.0467
3,dev,2.3566
4,train,0.0371
4,dev,2.3402
5,train,0.0330
5,dev,2.3381
6,train,0.0338
6,dev,2.3446
7,train,0.0352
7,dev,2.3511
8,train,0.0427
8,dev,2.3482
9,train,0.0513
9,dev,2.3459
10,train,0.0615
10,dev,2.3329
11,train,0.0747
11,dev,2.3398
12,train,0.0907
12,dev,2.3630
13,train,0.1098
13,dev,2.3235
14,train,0.1330
14,dev,2.3317
15,train,0.1607
15,dev,2.3418
16,train,0.1927
16,dev,2.3565
17,train,0.2294
17,dev,2.3493
18,train,0.2710
18,dev,2.3365
19,train,0.3175
19,dev,2.3391
20,train,0.3687
20,dev,2.2920
